ID,X,Y
0,94.2,105.8
1,95.8,105.8
2,97.4,105.8
3,99,105.8
4,94.2,107.4
5,95.8,107.4
6,97.4,107.4
7,99,107.4
8,94.2,109
9,95.8,109
10,97.4,109
11,99,109
12,42.89734863,100.8284961
13,43.66608887,102.0487598
14,43.70455566,102.9423633
15,44.28094727,99.69462891
16,45.04968262,100.9148926
17,45.74147949,100.347959
18,49.98509277,102.1009082
19,50.76731934,102.2686035
20,51.5495459,102.4362988
21,52.33177246,102.6039941
22,42.97428711,102.6156934
23,42.85888184,99.93490234
24,43.58915039,100.2615625
25,42.82041016,99.04129883
26,43.55067871,99.36795898
27,44.31941406,100.5882227
28,45.01121582,100.0212891
29,46.47174805,100.6746191
30,49.7616748,101.234834
31,50.54390137,101.4025293
32,44.39635254,102.3754297
33,45.0881543,101.8084863
34,50.43193359,103.8330566
35,50.99074219,103.1346777
36,51.43757812,104.8668262
37,51.99638672,104.1684473
38,52.55519531,103.4700684
39,51.77296875,103.3023731
40,53.11399902,102.7716895
41,53.67280762,102.0733106
42,42.93582031,101.7220996
43,43.62761719,101.155166
44,44.35788574,101.4818262
45,45.77995117,101.2415527
46,50.20851562,102.9669824
47,50.65535156,104.6991309
48,51.21416016,104.000752
49,51.32612793,101.5702246
50,52.10835449,101.7379199
51,52.89058105,101.9056152
52,138.5092481,102.8750684
53,137.7095215,102.8960059
54,140.529502,103.6224414
55,139.3508594,104.4535742
56,146.0521582,101.0122168
57,146.6278711,101.6967383
58,148.3858496,100.4519531
59,138.9300488,103.6643164
60,140.9084277,102.8122461
61,145.8499707,101.8834961
62,145.2742676,101.1989746
63,147.001377,103.2525293
64,148.1836621,101.3232227
65,147.4057617,101.5099805
66,138.9719336,105.2637695
67,140.1505762,104.4326367
68,146.4256738,102.5680176
69,139.7297754,103.6433789
70,145.0720703,102.0702539
71,141.2873438,102.002041
72,146.8300586,100.8254688
73,147.6079492,100.6387109
74,144.4963672,101.3857324
75,138.8881641,102.0648731
76,137.2887109,102.1067481
77,140.4876172,102.0229883
78,140.1087012,102.8331836
79,139.3089746,102.8541211
80,138.0884375,102.0858106
81,139.6878906,102.0439258
82,138.5511328,104.4745215
83,138.1303223,103.6852637
84,147.2035742,102.3812598
85,147.9814648,102.194502
86,147.5770801,103.9370508
87,147.7792773,103.0657715
88,139.7716602,105.242832
89,146.2234863,103.4392871
90,146.7991895,104.1238086
91,145.6477832,102.7547656
92,77.2,103.2
93,75.6,103.2
94,74,103.2
95,72.4,103.2
96,70.8,103.2
97,85.2,103.2
98,70.8,104
99,83.6,103.2
100,82,103.2
101,80.4,103.2
102,78.8,103.2
103,78.8,104
104,106.8,103.2
105,113.2,103.2
106,110,103.2
107,108.4,103.2
108,121.2,104
109,106.8,104
110,121.2,103.2
111,111.6,103.2
112,119.6,103.2
113,118,103.2
114,116.4,103.2
115,114.8,103.2
116,77.2,104
117,75.6,104
118,74,104
119,72.4,104
120,72.4,104.8
121,70.8,104.8
122,85.2,104
123,83.6,104
124,82,104
125,80.4,104
126,80.4,104.8
127,78.8,104.8
128,113.2,104.8
129,113.2,104
130,111.6,104
131,110,104
132,108.4,104
133,106.8,104.8
134,121.2,104.8
135,119.6,104
136,118,104
137,116.4,104
138,114.8,104
139,114.8,104.8
140,74,110.4
141,72.4,110.4
142,70.8,110.4
143,74,104.8
144,77.2,104.8
145,75.6,104.8
146,80.4,110.4
147,78.8,110.4
148,82,110.4
149,85.2,104.8
150,83.6,104.8
151,82,104.8
152,110,104.8
153,108.4,104.8
154,106.8,110.4
155,111.6,104.8
156,116.4,104.8
157,114.8,110.4
158,113.2,110.4
159,111.6,110.4
160,121.2,110.4
161,119.6,110.4
162,119.6,104.8
163,118,104.8
164,70.8,111.2
165,75.6,111.2
166,74,111.2
167,72.4,111.2
168,80.4,111.2
169,78.8,111.2
170,77.2,110.4
171,75.6,110.4
172,85.2,110.4
173,83.6,110.4
174,83.6,111.2
175,82,111.2
176,110,110.4
177,108.4,110.4
178,108.4,111.2
179,106.8,111.2
180,116.4,110.4
181,114.8,111.2
182,113.2,111.2
183,111.6,111.2
184,121.2,111.2
185,119.6,111.2
186,118,111.2
187,118,110.4
188,70.8,112
189,72.4,112
190,74,112
191,75.6,112
192,77.2,112
193,77.2,111.2
194,78.8,112
195,80.4,112
196,82,112
197,83.6,112
198,85.2,112
199,85.2,111.2
200,106.8,112
201,108.4,112
202,110,111.2
203,110,112
204,111.6,112
205,113.2,112
206,114.8,112
207,116.4,111.2
208,116.4,112
209,118,112
210,119.6,112
211,121.2,112
212,42.43215332,25.66640381
213,150.2598535,24.82312256
214,149.5489551,24.45620117
215,148.8265918,24.98363525
216,151.7160547,22.87389893
217,153.0919531,27.18515381
218,151.6816406,25.55696045
219,157.1707422,27.7900415
220,150.2483789,25.71747559
221,152.3810547,26.81823486
222,42.34852539,26.55691406
223,42.51578613,24.775896
224,150.2713184,23.92876709
225,41.76992676,25.06519531
226,150.9707422,25.1900415
227,150.9822168,24.29568848
228,155.0265918,27.58363525
229,43.01075684,27.15812256
230,43.1780127,25.37710449
231,41.85355469,24.1746875
232,151.670166,26.45131348
233,44.5024707,26.57952393
234,43.09438477,26.26761475
235,149.5374805,25.35055664
236,43.75661621,26.86882324
237,150.9592676,26.08439453
238,152.4269531,23.24082031
239,151.6931055,24.66260742
240,152.4040039,25.02952637
241,153.1378418,23.60773926
242,150.9936914,23.40133301
243,156.4713184,26.52876709
244,155.7374805,27.95055664
245,156.4598535,27.42312256
246,157.1592676,28.68439453
247,153.1034277,26.29080078
248,152.3925293,25.92387939
249,43.84024414,25.97831543
250,151.7045801,23.76825439
251,155.7489551,27.05620117
252,157.1822168,26.89568848
253,153.1148926,25.39644775
254,153.1263672,24.50209229
255,156.4483789,28.31747559
256,152.4154785,24.13517334
257,170.6817773,37.60191162
258,171.5535156,37.40169922
259,171.0446484,36.78439941
260,171.4075195,35.96688721
261,171.9163867,36.58418701
262,170.1729297,36.98461182
263,172.2792578,35.7666748
264,168.7923242,36.56752441
265,173.2950195,42.07168457
266,169.8100586,37.80212402
267,171.1906445,38.21921143
268,172.4008008,42.09096191
269,173.1470313,43.50629395
270,167.0008008,29.74226807
271,170.4649023,39.85423584
272,172.9990234,44.94089844
273,170.3189063,38.41942383
274,171.879707,42.81790527
275,173.5201367,44.21395508
276,169.9560547,39.23693604
277,172.2528125,43.52556641
278,172.7739258,42.79862793
279,170.1020313,40.67174805
280,172.625918,44.23323242
281,171.506582,42.11023926
282,170.8277734,39.03672363
283,169.5931836,40.05444824
284,169.4471875,38.61963623
285,168.4294531,37.38503662
286,169.0843164,39.43714844
287,164.9253125,33.36613525
288,168.066582,38.20254883
289,167.5577344,37.58525146
290,165.780957,33.10560303
291,164.6203711,34.20697021
292,167.0488672,36.96795166
293,163.5189941,33.04637207
294,162.9683106,32.46607178
295,158.6040039,27.62952637
296,157.870166,29.05131348
297,164.3746289,32.7858374
298,169.6640625,36.36731201
299,170.5357813,36.16709961
300,165.8401953,30.84363525
301,166.6958398,30.58310303
302,169.3011914,37.18482422
303,164.6795898,31.94500244
304,166.3908789,31.42393555
305,163.2732715,31.62523682
306,165.5352344,31.68447021
307,159.3263672,27.10209229
308,164.4338672,30.52386963
309,162.7225879,31.04493896
310,165.2895117,30.2633374
311,158.6154785,26.73517334
312,165.2302734,32.52530273
313,159.3148926,27.99644775
314,166.1451563,30.00280273
315,164.1289063,31.36470459
316,158.638418,24.94646729
317,159.360791,24.4190332
318,166.085918,32.26476807
319,168.9383203,38.00233643
320,168.5754492,38.81984863
321,163.5782324,30.7844043
322,164.9845508,31.10416992
323,165.4759961,33.94643555
324,167.9206055,36.76773682
325,159.3493164,25.31338623
326,165.1710547,34.78727051
327,162.417627,31.88577148
328,164.0696875,33.62666992
329,158.6269531,25.84082031
330,159.3378418,26.20773926
331,157.9160547,25.47389893
332,163.8239551,32.20553711
333,161.8669434,31.30547119
334,159.3034277,28.89080078
335,157.1936914,26.00133301
336,159.2919531,29.78515381
337,157.9045801,26.36825439
338,157.8816406,28.15696045
339,157.8931055,27.26260742
340,158.5810547,29.41823486
341,158.5925293,28.52387939
342,17.64167114,54.89188965
343,41.19132812,23.57347656
344,41.68629883,25.95570312
345,39.32776855,98.88314453
346,38.616875,98.51623047
347,18.30407715,70.33764648
348,25.99240967,86.50219727
349,17.6919043,58.77035645
350,37.90598145,98.14930664
351,20.66236816,81.74466797
352,18.07310669,68.7544043
353,20.41558594,46.53744141
354,18.3157251,75.93743164
355,19.21799194,73.8623584
356,22.45080811,81.70611816
357,31.252771,93.73380859
358,39.33924316,97.98879883
359,36.4956665,96.52111328
360,35.78477295,96.15419922
361,21.33147949,79.58312012
362,42.26489746,27.44742188
363,35.76182861,97.94290039
364,38.62834961,97.621875
365,17.84213623,67.17116211
366,24.97468506,85.26759766
367,37.20656006,96.88803711
368,37.19508789,97.78239258
369,30.4563623,91.73238281
370,38.60540283,99.41058594
371,40.05013672,98.35571289
372,37.91745361,97.25495117
373,18.34045044,62.40069824
374,40.02731934,28.31532227
375,40.11094971,27.42481201
376,18.40745117,60.80210449
377,17.84062256,54.11702148
378,29.7924585,34.26043701
379,26.24490234,39.76288086
380,28.79786865,36.17114258
381,34.24099854,31.96363037
382,36.8813623,30.1557373
383,41.02406738,25.35449463
384,41.51903809,27.73672119
385,41.10769531,24.46398682
386,20.41331909,45.09521973
387,25.26866943,41.03054199
388,26.83135986,37.69018555
389,32.43691406,33.04106934
390,40.77317871,28.02602051
391,35.43925293,30.17360596
392,24.48912109,39.42048096
393,38.20154541,29.25178955
394,36.09934326,29.7216333
395,31.00547363,33.21708008
396,41.60266602,26.84621338
397,26.34324463,38.32401611
398,18.91391724,53.15367188
399,19.51077271,50.82907227
400,22.63141846,44.64797363
401,40.85680664,27.1355127
402,40.52909912,22.97226807
403,36.75943359,29.26966064
404,36.22127197,30.60770996
405,34.65723389,29.73950195
406,33.99714355,30.19147705
407,30.78704834,32.34973389
408,30.61739014,34.60610596
409,30.01088379,35.12778564
410,30.39896729,33.73875977
411,27.70925049,37.86138428
412,40.94043701,26.24500488
413,37.54145264,29.70376465
414,35.56118164,31.05968506
415,34.90109131,31.51165771
416,34.7791626,30.62558105
417,34.11907227,31.07755371
418,31.83040527,33.56274902
419,31.22389893,34.08442871
420,29.404375,35.64946289
421,28.57944336,35.30379639
422,35.19539551,28.40145264
423,35.97741455,28.83555664
424,34.41337646,27.96734863
425,34.2914502,27.08126953
426,33.75328613,28.41932129
427,40.19457764,26.5343042
428,40.44546875,23.86277588
429,40.36183838,24.75328613
430,35.07346924,27.51537354
431,35.85548828,27.94947754
432,29.18595215,34.7821167
433,29.5740332,33.39309082
434,29.13718262,31.65839844
435,33.50943115,26.64716553
436,30.18054199,32.87141357
437,26.73301758,39.12904785
438,27.22113281,38.49521729
439,28.36101807,34.43644775
440,28.14259277,33.56910156
441,28.74910156,33.04742432
442,40.27820801,25.64379395
443,37.41952637,28.81768555
444,31.61197998,32.69540283
445,27.70574463,31.83440918
446,25.95346924,37.51898438
447,25.07558105,37.34778564
448,36.63750732,28.38358154
449,34.53530518,28.85342529
450,28.96752686,33.91477051
451,27.48731934,30.96706055
452,24.97723877,38.78664795
453,35.31732422,29.2875293
454,33.63135986,27.53324463
455,28.53067627,32.18007568
456,25.465354,38.15281738
457,33.87521484,29.30539795
458,29.35560791,32.52574463
459,27.92416992,32.70175537
460,29.9621167,32.00406494
461,28.31225098,31.31272949
462,18.19295166,44.10024902
463,20.41105103,43.65300293
464,19.52335815,43.54345703
465,17.74797119,43.32437012
466,24.00100586,40.05431152
467,17.76208862,51.20603516
468,19.08064453,44.20979492
469,18.23852661,52.56729004
470,18.71496582,53.92854004
471,23.61123291,39.24927979
472,23.7095752,37.81041504
473,24.39077881,40.85934326
474,22.18870605,45.31431152
475,21.30101318,45.20476562
476,21.30327881,46.6469873
477,20.86056641,47.31332031
478,19.08291138,45.65201172
479,18.63566406,43.43391602
